subscriber_id,signup_date,country,region,age,gender,plan_type,monthly_price_usd,household_size,primary_device,payment_method,tenure_months,is_active,churn_date
SUB100027,2026-01-13,United States,North America,29,Male,Standard,15.49,2,Smart TV,Debit Card,4,False,2026-03-16
SUB100028,2024-06-22,United States,North America,35,Female,Standard,15.49,2,Mobile,Credit Card,23,False,2025-01-20
SUB100029,2020-07-11,Mexico,Latin America,41,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,71,False,2024-03-21
SUB100030,2026-01-31,France,Europe,21,Male,Premium,22.99,1,Game Console,Credit Card,4,True,2026-05-30
SUB100031,2022-12-08,Thailand,Southeast Asia,38,Male,Premium,22.99,3,Smart TV,Credit Card,42,True,2026-05-30
SUB100032,2019-08-06,India,South Asia,38,Female,Premium,22.99,4,Smart TV,Credit Card,83,True,2026-05-30
SUB100033,2019-07-17,India,South Asia,48,Female,Standard,15.49,2,Mobile,Debit Card,83,False,2023-12-28
SUB100034,2021-09-05,South Korea,East Asia,32,Male,Standard,15.49,2,Smart TV,Credit Card,57,True,2026-05-30
SUB100035,2016-08-05,United States,North America,41,Female,Standard,15.49,2,Streaming Stick,Carrier Billing,119,True,2026-05-30
SUB100036,2023-03-01,United States,North America,39,Undisclosed,Premium,22.99,3,Laptop,Mobile Wallet,39,True,2026-05-30
SUB100037,2016-10-07,South Korea,East Asia,47,Male,Basic with Ads,6.99,1,Laptop,Credit Card,117,False,2022-10-12
SUB100038,2021-08-18,United States,North America,25,Male,Premium,22.99,3,Smart TV,Mobile Wallet,58,True,2026-05-30
SUB100039,2022-06-17,Mexico,Latin America,13,Female,Standard,15.49,1,Mobile,Credit Card,48,True,2026-05-30
SUB100040,2022-05-07,United Kingdom,Europe,32,Female,Standard,15.49,1,Smart TV,Gift Card,49,True,2026-05-30
SUB100041,2025-08-18,Canada,North America,32,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,9,False,2026-02-04
SUB100042,2017-07-16,Spain,Europe,20,Non-binary,Premium,22.99,4,Mobile,Credit Card,108,True,2026-05-30
SUB100043,2024-03-19,India,South Asia,16,Female,Standard,15.49,1,Mobile,Gift Card,26,True,2026-05-30
SUB100044,2018-03-02,Canada,North America,28,Male,Standard,15.49,1,Laptop,Debit Card,100,True,2026-05-30
SUB100045,2025-05-13,Germany,Europe,34,Male,Standard,15.49,1,Mobile,Credit Card,12,True,2026-05-30
SUB100046,2019-07-24,United Kingdom,Europe,37,Male,Premium,22.99,3,Streaming Stick,Mobile Wallet,83,False,2024-07-19
SUB100047,2023-03-18,India,South Asia,13,Non-binary,Standard,15.49,2,Mobile,Debit Card,39,True,2026-05-30
SUB100048,2024-12-07,Mexico,Latin America,13,Male,Basic with Ads,6.99,1,Mobile,Debit Card,18,False,2025-08-12
SUB100049,2025-06-03,United States,North America,50,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,12,True,2026-05-30
SUB100050,2025-03-29,United States,North America,33,Male,Standard,15.49,2,Laptop,Credit Card,14,True,2026-05-30
SUB100051,2022-12-11,United States,North America,35,Male,Premium,22.99,1,Tablet,Credit Card,42,True,2026-05-30
SUB100052,2025-10-22,Germany,Europe,18,Male,Standard,15.49,1,Streaming Stick,Carrier Billing,7,True,2026-05-30
SUB100053,2025-05-15,Mexico,Latin America,35,Female,Standard,15.49,2,Smart TV,Credit Card,12,True,2026-05-30
SUB100054,2026-01-31,Spain,Europe,31,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,4,False,2026-05-29
SUB100055,2024-02-16,Germany,Europe,27,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,27,True,2026-05-30
SUB100056,2024-08-13,South Korea,East Asia,16,Male,Standard,15.49,2,Mobile,Credit Card,21,False,2025-11-01
SUB100057,2021-11-07,Japan,East Asia,24,Female,Standard,15.49,1,Laptop,Credit Card,55,False,2023-01-31
SUB100058,2021-03-21,United States,North America,61,Male,Standard,15.49,1,Streaming Stick,Mobile Wallet,63,True,2026-05-30
SUB100059,2017-06-10,United States,North America,31,Female,Basic with Ads,6.99,1,Smart TV,PayPal,109,False,2023-09-18
SUB100060,2022-09-03,Mexico,Latin America,46,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,45,True,2026-05-30
SUB100061,2023-05-02,South Korea,East Asia,33,Male,Standard,15.49,2,Tablet,Gift Card,37,True,2026-05-30
SUB100062,2020-02-20,Japan,East Asia,31,Male,Premium,22.99,4,Laptop,Debit Card,76,False,2025-09-08
SUB100063,2018-10-07,France,Europe,27,Female,Basic with Ads,6.99,1,Mobile,Carrier Billing,93,False,2025-06-25
SUB100064,2023-01-04,Brazil,Latin America,53,Male,Standard,15.49,2,Streaming Stick,Credit Card,41,True,2026-05-30
SUB100065,2023-12-05,Japan,East Asia,40,Male,Basic with Ads,6.99,1,Laptop,Carrier Billing,30,True,2026-05-30
SUB100066,2026-05-18,Japan,East Asia,25,Male,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,1,True,2026-05-30
SUB100067,2025-01-15,India,South Asia,30,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,16,True,2026-05-30
SUB100068,2017-11-20,United States,North America,49,Male,Standard,15.49,2,Game Console,Credit Card,103,True,2026-05-30
SUB100069,2022-12-13,United Kingdom,Europe,13,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,42,False,2024-02-13
SUB100070,2017-12-23,United States,North America,40,Male,Standard,15.49,1,Smart TV,PayPal,102,False,2026-04-26
SUB100071,2021-01-16,United Kingdom,Europe,42,Female,Standard,15.49,2,Smart TV,Debit Card,65,True,2026-05-30
SUB100072,2021-09-01,Canada,North America,26,Male,Premium,22.99,4,Smart TV,Gift Card,57,False,2021-12-02
SUB100073,2024-04-18,United States,North America,38,Female,Premium,22.99,4,Smart TV,Debit Card,25,False,2024-05-29
SUB100074,2025-05-10,United States,North America,42,Female,Standard,15.49,1,Smart TV,Credit Card,12,False,2026-01-14
SUB100075,2022-09-23,India,South Asia,19,Non-binary,Standard,15.49,1,Game Console,Credit Card,44,False,2024-07-29
SUB100076,2022-05-09,India,South Asia,46,Male,Standard,15.49,2,Smart TV,Mobile Wallet,49,True,2026-05-30
SUB100077,2023-08-12,Mexico,Latin America,39,Male,Standard,15.49,2,Smart TV,Credit Card,34,True,2026-05-30
SUB100078,2020-09-26,Japan,East Asia,34,Male,Premium,22.99,2,Streaming Stick,Debit Card,69,True,2026-05-30
SUB100079,2021-08-10,Germany,Europe,37,Female,Premium,22.99,3,Smart TV,Gift Card,58,True,2026-05-30
SUB100080,2023-12-22,Mexico,Latin America,45,Male,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,29,True,2026-05-30
SUB100081,2021-01-05,United Kingdom,Europe,66,Female,Standard,15.49,2,Mobile,Credit Card,65,True,2026-05-30
SUB100082,2018-03-07,Germany,Europe,43,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,100,True,2026-05-30
SUB100083,2021-10-11,United States,North America,46,Female,Standard,15.49,1,Mobile,Credit Card,56,False,2023-06-29
SUB100084,2021-05-10,United States,North America,38,Female,Standard,15.49,1,Mobile,Mobile Wallet,61,True,2026-05-30
SUB100085,2020-08-31,United States,North America,60,Female,Premium,22.99,1,Mobile,Debit Card,70,True,2026-05-30
SUB100086,2017-08-27,Spain,Europe,16,Female,Standard,15.49,2,Smart TV,Credit Card,106,True,2026-05-30
SUB100087,2026-03-29,South Korea,East Asia,13,Male,Standard,15.49,2,Tablet,Credit Card,2,True,2026-05-30
SUB100088,2020-06-19,United States,North America,37,Male,Standard,15.49,1,Mobile,PayPal,72,True,2026-05-30
SUB100089,2024-02-23,South Korea,East Asia,44,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,27,False,2025-08-20
SUB100090,2021-08-18,United States,North America,13,Female,Standard,15.49,2,Tablet,PayPal,58,True,2026-05-30
SUB100091,2025-12-06,Spain,Europe,35,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,5,True,2026-05-30
SUB100092,2018-12-10,United Kingdom,Europe,33,Male,Standard,15.49,1,Tablet,Credit Card,91,True,2026-05-30
SUB100093,2025-10-14,United Kingdom,Europe,45,Female,Premium,22.99,3,Smart TV,Debit Card,7,True,2026-05-30
SUB100094,2018-02-23,India,South Asia,41,Male,Premium,22.99,4,Smart TV,PayPal,100,False,2020-02-07
SUB100095,2025-08-11,Brazil,Latin America,13,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,9,True,2026-05-30
SUB100096,2024-12-22,India,South Asia,21,Male,Standard,15.49,2,Tablet,PayPal,17,True,2026-05-30
SUB100097,2023-03-20,United States,North America,25,Male,Premium,22.99,2,Mobile,Credit Card,38,True,2026-05-30
SUB100098,2024-06-19,United States,North America,45,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,23,False,2024-10-07
SUB100099,2019-03-06,Indonesia,Southeast Asia,40,Male,Basic with Ads,6.99,1,Tablet,Debit Card,88,False,2022-01-10
SUB100100,2023-10-23,Nigeria,Africa,27,Male,Standard,15.49,2,Streaming Stick,Credit Card,31,True,2026-05-30
SUB100101,2025-07-17,Spain,Europe,37,Female,Standard,15.49,1,Game Console,Mobile Wallet,10,True,2026-05-30
SUB100102,2026-04-30,India,South Asia,22,Male,Standard,15.49,2,Streaming Stick,Debit Card,1,True,2026-05-30
SUB100103,2018-06-13,Thailand,Southeast Asia,62,Female,Premium,22.99,3,Smart TV,Debit Card,97,True,2026-05-30
SUB100104,2024-05-15,France,Europe,43,Male,Premium,22.99,4,Mobile,Mobile Wallet,24,True,2026-05-30
SUB100105,2020-12-19,Spain,Europe,46,Female,Premium,22.99,3,Smart TV,Mobile Wallet,66,True,2026-05-30
SUB100106,2021-05-31,United Kingdom,Europe,53,Male,Premium,22.99,4,Laptop,Debit Card,60,False,2024-08-26
SUB100107,2022-01-16,India,South Asia,49,Male,Basic with Ads,6.99,1,Streaming Stick,PayPal,53,False,2025-05-27
SUB100108,2023-06-15,United States,North America,36,Male,Basic with Ads,6.99,1,Streaming Stick,Credit Card,36,True,2026-05-30
SUB100109,2026-02-14,Nigeria,Africa,33,Female,Premium,22.99,1,Laptop,Debit Card,3,True,2026-05-30
SUB100110,2019-08-11,United Kingdom,Europe,52,Female,Premium,22.99,4,Tablet,Debit Card,82,True,2026-05-30
SUB100111,2024-06-06,United States,North America,36,Male,Standard,15.49,2,Game Console,Credit Card,24,True,2026-05-30
SUB100112,2017-06-26,India,South Asia,26,Male,Basic with Ads,6.99,1,Mobile,Gift Card,108,True,2026-05-30
SUB100113,2023-07-11,Japan,East Asia,61,Non-binary,Basic with Ads,6.99,1,Mobile,Credit Card,35,False,2024-06-08
SUB100114,2019-06-01,United States,North America,23,Male,Premium,22.99,1,Game Console,Mobile Wallet,85,True,2026-05-30
SUB100115,2023-07-28,Italy,Europe,13,Male,Basic with Ads,6.99,1,Mobile,Credit Card,34,True,2026-05-30
SUB100116,2024-05-29,France,Europe,48,Undisclosed,Premium,22.99,1,Mobile,Mobile Wallet,24,True,2026-05-30
SUB100117,2022-08-31,Spain,Europe,26,Male,Standard,15.49,2,Tablet,Mobile Wallet,45,True,2026-05-30
SUB100118,2021-12-31,United Kingdom,Europe,41,Female,Premium,22.99,3,Game Console,Credit Card,53,True,2026-05-30
SUB100119,2023-02-01,Brazil,Latin America,59,Male,Basic with Ads,6.99,1,Tablet,Mobile Wallet,40,True,2026-05-30
SUB100120,2022-01-09,Japan,East Asia,18,Female,Premium,22.99,1,Mobile,Credit Card,53,True,2026-05-30
SUB100121,2025-04-12,Mexico,Latin America,35,Male,Standard,15.49,1,Mobile,Debit Card,13,True,2026-05-30
SUB100122,2024-06-26,United States,North America,55,Female,Premium,22.99,3,Smart TV,Debit Card,23,False,2025-10-02
SUB100123,2023-04-24,United Kingdom,Europe,44,Undisclosed,Basic with Ads,6.99,1,Smart TV,Carrier Billing,37,True,2026-05-30
SUB100124,2023-08-25,United States,North America,33,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,33,False,2024-10-20
SUB100125,2022-03-27,South Korea,East Asia,67,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,50,False,2023-06-20
SUB100126,2019-07-10,India,South Asia,34,Female,Premium,22.99,2,Laptop,Mobile Wallet,83,True,2026-05-30
SUB100127,2020-05-15,United States,North America,41,Male,Basic with Ads,6.99,1,Laptop,Credit Card,73,True,2026-05-30
SUB100128,2022-12-05,United States,North America,57,Female,Standard,15.49,2,Smart TV,Gift Card,42,False,2023-01-08
SUB100129,2018-08-19,Japan,East Asia,48,Female,Basic with Ads,6.99,1,Smart TV,Carrier Billing,94,False,2022-10-11
SUB100130,2025-11-09,United States,North America,53,Male,Standard,15.49,1,Mobile,Mobile Wallet,6,True,2026-05-30
SUB100131,2024-12-02,Australia,Oceania,24,Female,Standard,15.49,2,Mobile,Credit Card,18,True,2026-05-30
SUB100132,2024-08-18,Japan,East Asia,51,Female,Premium,22.99,1,Tablet,Credit Card,21,True,2026-05-30
SUB100133,2024-08-22,India,South Asia,38,Male,Standard,15.49,1,Smart TV,Mobile Wallet,21,False,2025-01-12
SUB100134,2018-09-02,Brazil,Latin America,26,Male,Premium,22.99,2,Smart TV,Mobile Wallet,94,False,2018-10-11
SUB100135,2022-08-30,United States,North America,38,Female,Standard,15.49,1,Game Console,Credit Card,45,True,2026-05-30
SUB100136,2025-10-14,Indonesia,Southeast Asia,38,Male,Basic with Ads,6.99,1,Mobile,PayPal,7,True,2026-05-30
SUB100137,2023-12-10,South Korea,East Asia,60,Male,Premium,22.99,4,Smart TV,Credit Card,30,True,2026-05-30
SUB100138,2024-05-23,Germany,Europe,40,Female,Standard,15.49,1,Mobile,Debit Card,24,False,2025-04-23
SUB100139,2026-05-31,United States,North America,25,Male,Standard,15.49,2,Streaming Stick,PayPal,1,False,2026-06-30
SUB100140,2018-05-28,South Korea,East Asia,22,Male,Standard,15.49,2,Game Console,Credit Card,97,False,2019-12-28
SUB100141,2020-04-06,South Korea,East Asia,35,Female,Premium,22.99,1,Mobile,Credit Card,74,False,2026-05-11
SUB100142,2020-08-18,Argentina,Latin America,18,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,70,True,2026-05-30
SUB100143,2023-03-22,Japan,East Asia,26,Female,Basic with Ads,6.99,1,Smart TV,Carrier Billing,38,False,2025-01-03
SUB100144,2026-04-10,South Korea,East Asia,32,Male,Premium,22.99,1,Smart TV,Credit Card,1,True,2026-05-30
SUB100145,2021-12-18,India,South Asia,30,Male,Standard,15.49,1,Game Console,Credit Card,54,True,2026-05-30
SUB100146,2026-02-14,India,South Asia,45,Female,Standard,15.49,1,Tablet,Credit Card,3,True,2026-05-30
SUB100147,2017-03-12,South Korea,East Asia,26,Female,Premium,22.99,3,Streaming Stick,Debit Card,112,True,2026-05-30
SUB100148,2024-08-11,United Kingdom,Europe,13,Male,Basic with Ads,6.99,1,Mobile,Carrier Billing,21,True,2026-05-30
SUB100149,2025-06-28,United States,North America,14,Female,Basic with Ads,6.99,1,Mobile,Mobile Wallet,11,False,2025-08-28
SUB100150,2020-08-15,Canada,North America,35,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,70,True,2026-05-30
SUB100151,2020-11-02,Turkey,Middle East,28,Non-binary,Premium,22.99,3,Mobile,Credit Card,67,False,2025-11-20
SUB100152,2025-04-22,United States,North America,19,Female,Premium,22.99,1,Laptop,Credit Card,13,True,2026-05-30
SUB100153,2022-06-15,Japan,East Asia,61,Male,Premium,22.99,1,Smart TV,Credit Card,48,True,2026-05-30
SUB100154,2022-12-14,United States,North America,46,Female,Standard,15.49,2,Game Console,Gift Card,42,True,2026-05-30
SUB100155,2023-12-25,Mexico,Latin America,35,Female,Standard,15.49,1,Laptop,Debit Card,29,True,2026-05-30
SUB100156,2022-06-15,India,South Asia,39,Female,Premium,22.99,1,Smart TV,PayPal,48,True,2026-05-30
SUB100157,2024-02-22,Mexico,Latin America,32,Male,Premium,22.99,2,Smart TV,Mobile Wallet,27,True,2026-05-30
SUB100158,2020-04-07,Spain,Europe,19,Male,Basic with Ads,6.99,1,Streaming Stick,Credit Card,74,True,2026-05-30
SUB100159,2026-01-12,France,Europe,49,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,4,True,2026-05-30
SUB100160,2025-11-12,United States,North America,47,Male,Standard,15.49,2,Mobile,Debit Card,6,True,2026-05-30
SUB100161,2022-05-12,Nigeria,Africa,13,Male,Premium,22.99,4,Mobile,Mobile Wallet,49,True,2026-05-30
SUB100162,2019-05-07,United States,North America,38,Male,Standard,15.49,2,Mobile,PayPal,86,True,2026-05-30
SUB100163,2022-02-09,United States,North America,40,Male,Basic with Ads,6.99,1,Mobile,Carrier Billing,52,False,2023-07-06
SUB100164,2021-02-03,Japan,East Asia,31,Male,Premium,22.99,4,Mobile,Credit Card,64,True,2026-05-30
SUB100165,2019-08-19,India,South Asia,63,Female,Standard,15.49,1,Smart TV,Credit Card,82,True,2026-05-30
SUB100166,2023-07-28,Canada,North America,61,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,34,True,2026-05-30
SUB100167,2022-03-09,Germany,Europe,31,Male,Standard,15.49,1,Tablet,Credit Card,51,True,2026-05-30
SUB100168,2023-11-10,India,South Asia,33,Male,Premium,22.99,2,Tablet,Credit Card,31,False,2024-06-07
SUB100169,2022-05-17,Indonesia,Southeast Asia,31,Male,Standard,15.49,2,Streaming Stick,Debit Card,49,True,2026-05-30
SUB100170,2026-04-14,India,South Asia,28,Male,Premium,22.99,1,Laptop,PayPal,1,True,2026-05-30
SUB100171,2018-03-19,South Korea,East Asia,24,Male,Premium,22.99,3,Smart TV,Credit Card,99,False,2023-08-20
SUB100172,2025-03-18,India,South Asia,42,Male,Basic with Ads,6.99,1,Game Console,Carrier Billing,14,False,2026-03-24
SUB100173,2022-04-15,Argentina,Latin America,61,Male,Standard,15.49,2,Streaming Stick,Credit Card,50,True,2026-05-30
SUB100174,2018-06-26,United States,North America,56,Male,Basic with Ads,6.99,1,Smart TV,Carrier Billing,96,True,2026-05-30
SUB100175,2024-09-14,United States,North America,46,Male,Standard,15.49,1,Mobile,Credit Card,20,True,2026-05-30
SUB100176,2022-06-30,United Kingdom,Europe,13,Female,Standard,15.49,2,Mobile,Credit Card,47,True,2026-05-30
SUB100177,2024-11-10,Egypt,Middle East,13,Male,Premium,22.99,1,Mobile,PayPal,18,True,2026-05-30
SUB100178,2023-11-04,Turkey,Middle East,49,Male,Standard,15.49,1,Mobile,Credit Card,31,True,2026-05-30
SUB100179,2025-07-06,France,Europe,57,Female,Basic with Ads,6.99,1,Game Console,Debit Card,11,True,2026-05-30
SUB100180,2022-08-02,Turkey,Middle East,43,Male,Basic with Ads,6.99,1,Game Console,Gift Card,46,True,2026-05-30
SUB100181,2026-02-12,Turkey,Middle East,32,Female,Standard,15.49,1,Smart TV,PayPal,3,True,2026-05-30
SUB100182,2022-05-01,South Korea,East Asia,53,Female,Basic with Ads,6.99,1,Laptop,Mobile Wallet,49,True,2026-05-30
SUB100183,2017-07-14,India,South Asia,45,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,108,True,2026-05-30
SUB100184,2026-05-21,France,Europe,50,Female,Premium,22.99,3,Smart TV,Debit Card,1,False,2026-06-20
SUB100185,2022-05-25,Mexico,Latin America,13,Male,Standard,15.49,1,Mobile,Credit Card,48,True,2026-05-30
SUB100186,2021-06-30,India,South Asia,40,Male,Standard,15.49,1,Game Console,Credit Card,59,False,2025-10-06
SUB100187,2020-06-15,United States,North America,59,Female,Basic with Ads,6.99,1,Mobile,Mobile Wallet,72,True,2026-05-30
SUB100188,2021-12-21,France,Europe,42,Female,Premium,22.99,4,Mobile,Debit Card,54,True,2026-05-30
SUB100189,2023-03-10,India,South Asia,48,Female,Premium,22.99,3,Laptop,Credit Card,39,True,2026-05-30
SUB100190,2021-11-13,Argentina,Latin America,36,Male,Standard,15.49,2,Mobile,Carrier Billing,55,False,2025-05-29
SUB100191,2023-05-31,United States,North America,37,Male,Basic with Ads,6.99,1,Laptop,Credit Card,36,False,2024-12-11
SUB100192,2022-02-26,United States,North America,54,Male,Premium,22.99,2,Mobile,Mobile Wallet,51,True,2026-05-30
SUB100193,2023-09-03,Canada,North America,27,Female,Standard,15.49,1,Smart TV,Debit Card,33,False,2025-10-11
SUB100194,2018-11-14,United States,North America,26,Female,Premium,22.99,3,Mobile,Debit Card,91,True,2026-05-30
SUB100195,2020-01-06,United States,North America,29,Male,Standard,15.49,2,Smart TV,Mobile Wallet,77,False,2025-09-19
SUB100196,2021-03-31,Brazil,Latin America,36,Male,Premium,22.99,3,Smart TV,Gift Card,62,True,2026-05-30
SUB100197,2021-10-27,Italy,Europe,15,Male,Premium,22.99,4,Mobile,Credit Card,55,True,2026-05-30
SUB100198,2021-10-08,United States,North America,45,Female,Standard,15.49,1,Game Console,Credit Card,56,True,2026-05-30
SUB100199,2023-09-25,India,South Asia,33,Female,Premium,22.99,3,Mobile,Credit Card,32,True,2026-05-30
SUB100200,2026-05-14,France,Europe,47,Female,Standard,15.49,1,Game Console,PayPal,1,False,2026-06-13
SUB100201,2021-10-09,Thailand,Southeast Asia,13,Female,Standard,15.49,1,Smart TV,Debit Card,56,True,2026-05-30
SUB100202,2026-01-06,South Korea,East Asia,47,Male,Standard,15.49,1,Mobile,Debit Card,4,True,2026-05-30
SUB100203,2025-04-10,United States,North America,53,Female,Standard,15.49,2,Smart TV,PayPal,13,True,2026-05-30
SUB100204,2025-07-12,United States,North America,41,Male,Premium,22.99,4,Mobile,Credit Card,10,True,2026-05-30
SUB100205,2022-01-31,United States,North America,36,Male,Basic with Ads,6.99,1,Laptop,Debit Card,52,False,2025-07-23
SUB100206,2024-02-01,United States,North America,47,Non-binary,Standard,15.49,2,Smart TV,Debit Card,28,False,2026-04-17
SUB100207,2024-11-01,Mexico,Latin America,52,Male,Standard,15.49,2,Smart TV,Carrier Billing,19,True,2026-05-30
SUB100208,2019-12-20,United States,North America,42,Female,Basic with Ads,6.99,1,Smart TV,PayPal,78,True,2026-05-30
SUB100209,2025-09-14,South Korea,East Asia,43,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,8,True,2026-05-30
SUB100210,2021-09-25,Spain,Europe,57,Male,Premium,22.99,4,Laptop,Carrier Billing,57,True,2026-05-30
SUB100211,2020-08-06,Japan,East Asia,45,Female,Standard,15.49,1,Mobile,Credit Card,70,True,2026-05-30
SUB100212,2025-05-14,United States,North America,25,Female,Premium,22.99,1,Streaming Stick,Debit Card,12,True,2026-05-30
SUB100213,2025-03-05,Germany,Europe,52,Female,Premium,22.99,4,Smart TV,PayPal,15,True,2026-05-30
SUB100214,2024-07-12,Spain,Europe,34,Female,Standard,15.49,1,Game Console,Debit Card,22,True,2026-05-30
SUB100215,2016-03-18,France,Europe,36,Male,Basic with Ads,6.99,1,Tablet,Mobile Wallet,124,True,2026-05-30
SUB100216,2023-05-08,United States,North America,37,Female,Basic with Ads,6.99,1,Tablet,Credit Card,37,True,2026-05-30
SUB100217,2020-02-20,United States,North America,48,Female,Standard,15.49,2,Laptop,Mobile Wallet,76,False,2023-09-06
SUB100218,2020-01-09,Australia,Oceania,58,Male,Standard,15.49,2,Smart TV,Credit Card,77,True,2026-05-30
SUB100219,2025-09-11,United Kingdom,Europe,36,Male,Standard,15.49,2,Tablet,PayPal,8,True,2026-05-30
SUB100220,2021-03-18,India,South Asia,58,Female,Standard,15.49,2,Smart TV,Debit Card,63,True,2026-05-30
SUB100221,2023-11-07,South Korea,East Asia,38,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,31,True,2026-05-30
SUB100222,2021-09-03,Mexico,Latin America,54,Male,Standard,15.49,1,Smart TV,PayPal,57,True,2026-05-30
SUB100223,2021-06-17,Indonesia,Southeast Asia,38,Female,Basic with Ads,6.99,1,Mobile,Debit Card,60,False,2023-12-12
SUB100224,2023-02-22,India,South Asia,29,Male,Standard,15.49,1,Smart TV,Credit Card,39,False,2025-12-08
SUB100225,2020-04-28,Australia,Oceania,60,Female,Standard,15.49,1,Tablet,PayPal,74,False,2023-01-18
SUB100226,2026-02-09,United States,North America,28,Male,Standard,15.49,2,Laptop,PayPal,3,True,2026-05-30
SUB100227,2021-09-14,Japan,East Asia,27,Male,Premium,22.99,2,Laptop,Credit Card,57,False,2025-06-17
SUB100228,2025-08-30,Brazil,Latin America,19,Female,Standard,15.49,1,Laptop,PayPal,9,False,2026-04-21
