title_name,Watch_Hours,Plays,Completion
The Echoes of Madrid,2025.4616666666666,93,62.82903225806451
The Reckoning of Marseille,2023.5533333333333,73,83.99863013698629
Distant Kingdom II,2017.9166666666667,65,76.96615384615384
The Harvest of Tokyo II,2014.085,132,50.85757575757576
Sydney Horizon,2013.0733333333333,81,69.03827160493827
Midnight Sydney IV,2010.1366666666668,116,62.78534482758621
Tokyo Syndicate V,2006.5916666666667,60,71.91666666666667
Restless Verdict,2004.965,101,72.10000000000001
Seoul Pact,1998.8183333333334,101,63.73564356435644
The Requiem of Toronto,1996.0066666666667,87,62.334482758620695
Wild Algorithm III,1995.1516666666666,66,75.32878787878788
Phantom Kingdom III,1994.1766666666667,102,71.52941176470588
The Sanctuary of Tokyo II,1984.1466666666668,73,62.29178082191781
Jakarta Circuit II,1978.2233333333334,80,62.20375
Quiet Pact II,1977.8266666666666,108,73.99351851851851
Last Promise,1971.9766666666667,81,81.51358024691359
The Verdict of Hamburg,1969.44,184,85.4
Lisbon Heist III,1967.7033333333334,61,85.33934426229509
Glass Tide III,1966.945,79,68.39620253164557
Marseille Frequency IV,1954.1983333333333,100,83.51299999999999
Marseille Requiem III,1947.8016666666667,56,72.92142857142856
Hollow Marseille,1945.7316666666666,149,76.51677852348993
Eternal Storm III,1939.5866666666666,172,62.19186046511628
Bogota Shadows VI,1934.9066666666668,166,69.38132530120481
The River of Seoul IV,1929.5566666666666,74,69.16621621621621
Wild Bogota,1928.7683333333334,93,80.0752688172043
Crimson Marseille V,1925.4216666666666,107,68.55233644859814
Tokyo Garden VI,1917.9833333333333,76,79.70263157894736
Naples Crown V,1915.17,170,52.158235294117645
The Promise of Jakarta VI,1914.725,62,72.83548387096775
Broken Bogota IV,1911.0133333333333,74,58.68783783783783
Madrid Crown V,1908.27,79,71.0493670886076
The River of Lisbon,1904.3516666666667,1359,79.3195732155997
Last Protocol,1901.84,172,69.11046511627907
The Odyssey of Bangkok,1899.4516666666666,201,54.943283582089556
Tender Bogota II,1892.5316666666665,68,51.411764705882355
The Cipher of Tokyo,1891.5733333333333,953,61.071458551941234
Jakarta Shadows,1884.52,75,79.17733333333334
Gilded Verdict,1877.6883333333333,77,81.27532467532467
Tender Lighthouse,1873.2666666666667,132,69.56363636363636
Forgotten Paradox II,1873.0766666666666,54,59.8074074074074
The Garden of Bangkok,1872.3700000000001,56,72.68928571428572
Jakarta Confession III,1869.65,80,56.588750000000005
The Verdict of Toronto,1869.6483333333333,118,67.7135593220339
Bitter Syndicate,1868.1266666666666,143,70.8055944055944
Phantom Circuit II,1863.8633333333332,557,67.8294434470377
Cairo Affair,1862.235,88,62.39431818181818
Velvet Madrid II,1861.815,1173,75.58201193520887
Forgotten Sydney V,1860.6733333333334,89,66.37191011235956
Crimson Horizon III,1856.5916666666667,51,66.18823529411765
Midnight Empire III,1855.6366666666668,79,80.53417721518987
The Departure of Bangkok II,1853.7,112,72.11785714285715
The Circuit of Marseille III,1853.5183333333334,117,69.63418803418803
The Sanctuary of Seoul,1846.965,46,63.734782608695646
Bangkok Pact IV,1832.3416666666667,125,60.6944
Crooked Bangkok,1826.8916666666667,57,67.71052631578948
Eternal Hamburg II,1825.8033333333333,54,72.25555555555556
Gilded Naples IV,1816.925,131,70.76488549618321
Restless Departure II,1816.4483333333333,47,67.09787234042552
Glass Jakarta III,1813.64,52,76.10576923076923
Lagos Sanctuary II,1802.2666666666667,83,67.33132530120481
Tender Horizon II,1798.28,44,75.82727272727273
Brilliant Bangkok,1796.1883333333333,60,71.27666666666667
The Legacy of Istanbul III,1796.0433333333333,67,64.74328358208956
Bangkok Pact VI,1795.6666666666667,46,66.38913043478261
Hollow Verdict II,1790.8016666666667,88,55.49886363636363
Restless Bogota,1787.32,76,70.0
Hidden Lagos,1787.1883333333333,97,65.80103092783504
The Legacy of Madrid II,1786.0383333333334,80,68.9
Brilliant Heist,1783.8883333333333,57,78.24736842105264
The Cipher of Toronto,1777.635,58,58.050000000000004
Electric Throne,1777.52,85,70.89176470588235
The Echoes of Cairo III,1777.3166666666666,145,74.74551724137932
Forgotten Tide II,1771.0666666666666,141,62.96241134751774
Seoul Inheritance,1767.195,52,79.90192307692307
Broken Tokyo,1763.0833333333333,105,71.45619047619047
Crimson Sydney V,1762.645,108,62.769444444444446
The River of Lagos VII,1757.3816666666667,86,65.21395348837208
Iron Promise III,1755.155,54,71.42962962962963
Bitter Tokyo II,1751.695,83,74.66746987951807
Hidden Throne,1751.2216666666666,96,76.00416666666666
Sydney Reckoning IV,1744.0216666666665,82,65.64756097560976
Frozen Detroit III,1742.4133333333334,66,59.5469696969697
Tender Protocol,1742.1466666666668,67,72.56417910447762
Seoul Empire VI,1739.3466666666666,75,84.848
The Protocol of Oslo,1737.8483333333334,128,66.55546875
Restless Tokyo III,1731.1033333333332,69,78.40144927536231
Sydney Reckoning,1730.5366666666666,61,86.23114754098361
Lagos Throne VI,1725.295,265,74.40716981132076
Phantom Hamburg II,1721.6516666666666,100,75.959
Detroit Mirror IV,1720.6533333333334,84,63.6202380952381
Mumbai Protocol III,1715.9033333333334,159,79.05911949685535
The Tide of Bangkok,1713.52,81,63.46296296296296
Bangkok Ledger,1708.1683333333333,87,79.38045977011495
Glass Confession,1707.9266666666667,57,82.31228070175439
The Mirror of Istanbul VI,1699.2116666666666,177,65.08870056497176
Reckless Frequency III,1694.4633333333334,91,62.589010989010994
Velvet Tokyo,1691.9483333333333,115,81.74260869565217
Sydney Confession III,1688.6166666666668,64,52.3546875
The Harvest of Bangkok III,1684.0933333333332,52,60.72692307692308
Marseille Frequency,1683.5133333333333,64,71.7390625
Bangkok Algorithm III,1682.8433333333332,65,71.12
Lisbon Algorithm III,1681.3783333333333,60,61.58833333333334
Mumbai Pact II,1675.03,97,64.79484536082475
The Syndicate of Bogota II,1668.5716666666667,66,54.169696969696965
Mumbai Requiem,1665.79,147,65.37619047619047
Paper Sydney IV,1663.8416666666667,283,58.793286219081274
Brilliant Reckoning,1658.1533333333334,158,83.95569620253164
Last Heist III,1656.3116666666667,151,72.96225165562913
Broken Cairo III,1653.0583333333334,63,79.5063492063492
Oslo Crown IV,1651.7033333333334,81,66.85555555555555
Phantom Requiem,1649.935,81,68.85061728395061
Crooked Madrid II,1649.29,56,77.67857142857143
Midnight Bogota,1646.475,100,54.887
The Requiem of Jakarta,1643.7233333333334,52,66.30961538461538
Madrid Empire VII,1638.5883333333334,323,64.79102167182663
Bogota Inheritance II,1633.6666666666667,127,68.42047244094488
The Anatomy of Oslo II,1633.6233333333334,107,56.40654205607477
The Storm of Jakarta,1629.02,77,67.80649350649351
Paper Storm III,1624.8616666666667,202,66.29108910891088
The Legacy of Jakarta III,1622.4866666666667,82,59.96341463414634
Naples Inheritance III,1612.2883333333334,97,76.70824742268042
Berlin Reckoning II,1608.9,91,65.6065934065934
Tender Mumbai IV,1607.75,55,63.68909090909091
Savage Lisbon,1607.1216666666667,95,50.74947368421052
Forgotten Sanctuary IV,1605.0866666666666,86,53.83720930232558
The Tide of Toronto,1590.685,180,61.656111111111116
Mumbai Departure,1590.2,173,59.69132947976879
Madrid Garden III,1589.745,94,70.47553191489361
The Storm of Naples III,1588.56,133,67.86315789473683
Bitter Pact III,1587.4566666666667,70,55.315714285714286
The Pact of Sydney V,1578.435,97,61.289690721649485
Shattered Throne III,1578.3883333333333,284,69.47288732394365
Tokyo Cipher III,1577.2583333333334,47,59.5
The Garden of Detroit II,1574.21,68,52.61470588235294
Midnight Anatomy,1571.6133333333332,152,76.58684210526316
Quiet Throne III,1569.4066666666668,156,79.84294871794872
Paper Tokyo V,1568.5116666666668,101,68.3158415841584
The Reckoning of Madrid,1563.205,82,70.59878048780489
Velvet Crown,1562.515,82,62.68048780487805
Whispering Mumbai II,1560.3366666666666,78,75.01923076923077
Bogota Cipher IV,1559.55,50,63.92
Madrid Kingdom IV,1559.165,128,65.25234375
Glass Algorithm,1556.2566666666667,111,55.30720720720721
Hidden Detroit III,1552.465,54,68.9962962962963
Cairo Mirror II,1551.425,48,69.25208333333333
The Cipher of Istanbul III,1549.84,78,71.99230769230769
The Garden of Oslo VI,1546.6033333333332,91,64.74505494505495
Eternal Naples II,1546.5166666666667,93,68.15161290322581
The Lighthouse of Cairo,1545.835,61,64.65081967213115
Endless Verdict IV,1545.1083333333333,40,75.0775
Gilded Requiem II,1543.725,467,67.00535331905782
Seoul Reckoning II,1542.8616666666667,146,57.64041095890411
Reckless Mirror,1542.3,60,74.93666666666667
Reckless Toronto,1539.2283333333332,57,81.82982456140351
Crimson Protocol II,1536.5933333333332,59,78.13559322033899
The Inheritance of Jakarta II,1530.3866666666668,45,73.13555555555556
Detroit Harvest,1526.92,66,82.92121212121212
The Horizon of Mumbai,1525.1083333333333,96,50.06145833333333
The Verdict of Lisbon II,1524.8466666666666,75,76.244
Tender Paradox II,1517.19,48,64.83749999999999
The Horizon of Madrid,1516.2716666666665,58,63.13793103448276
Whispering Jakarta III,1512.4533333333334,1346,66.75282317979197
Electric Shadows,1506.3766666666668,99,74.96060606060607
Distant Departure,1501.2766666666666,60,71.49166666666666
Wild Algorithm,1498.31,150,61.157333333333334
Iron Departure,1498.2783333333334,49,65.5204081632653
The Empire of Lagos II,1496.295,58,68.04137931034482
The Tide of Hamburg II,1495.3983333333333,51,73.92156862745098
Iron Seoul II,1495.375,43,66.7953488372093
Silent Jakarta II,1492.8983333333333,69,75.64927536231885
Rising Mumbai V,1491.8833333333334,96,69.06666666666666
The Reckoning of Toronto,1484.485,122,59.645081967213116
The Protocol of Jakarta,1479.64,49,71.89795918367346
Toronto Promise V,1478.6016666666667,141,58.257446808510636
Detroit Confession IV,1477.58,75,61.562666666666665
The Odyssey of Bogota IV,1476.5233333333333,59,65.85254237288136
Rising Bogota,1469.4766666666667,58,54.606896551724134
The Ledger of Lagos III,1468.7233333333334,57,85.88771929824561
Lisbon Lighthouse,1467.27,72,76.42222222222222
Berlin Promise V,1466.09,75,53.31333333333333
The Mirror of Hamburg II,1463.4216666666666,43,66.73488372093023
The Ledger of Tokyo,1463.3033333333333,64,73.7546875
Bogota Circuit II,1461.8483333333334,64,72.434375
Crimson Bogota III,1459.6516666666666,199,55.01105527638191
The Crown of Tokyo IV,1457.5983333333334,132,71.70909090909092
Lisbon Crown II,1457.2816666666668,54,53.5425925925926
Rising Promise,1457.1166666666666,433,61.55750577367206
Lagos Verdict IV,1448.0016666666666,78,62.717948717948715
Distant Reckoning II,1447.775,78,70.70769230769231
Tokyo Horizon II,1446.5016666666666,82,55.12560975609756
Madrid Inheritance,1441.7816666666668,44,76.38181818181819
Mumbai Requiem III,1441.615,100,84.473
Mumbai Syndicate II,1440.1733333333334,66,69.64545454545456
The Empire of Seoul IV,1436.2283333333332,132,59.35
The Harvest of Oslo II,1433.1216666666667,97,79.8618556701031
Bitter Naples,1432.735,63,64.97460317460317
Neon Sydney III,1432.4683333333332,43,71.38372093023256
The Empire of Bangkok II,1430.72,53,56.24716981132075
Whispering Horizon,1430.245,173,62.16416184971098
The Requiem of Cairo,1429.46,41,67.47560975609755
Golden Istanbul III,1428.7533333333333,61,64.7655737704918
The Lighthouse of Jakarta II,1425.0866666666666,59,69.67966101694915
Oslo Sanctuary,1424.5283333333334,46,72.44130434782609
Burning Heist,1421.105,50,82.62200000000001
The Pact of Cairo II,1420.3366666666666,41,70.69268292682926
Quiet Verdict II,1420.3066666666666,231,68.31558441558441
Istanbul Mirror III,1419.44,50,55.338
Savage Cairo,1418.665,65,76.05384615384615
Bogota Horizon II,1416.58,78,80.71538461538462
Velvet Garden V,1415.9133333333334,49,66.94081632653061
The Horizon of Toronto V,1414.8816666666667,53,55.966037735849056
Brilliant Sydney VI,1413.9983333333332,85,77.48588235294118
Savage Madrid II,1412.655,110,55.59818181818182
Eternal Lagos IV,1411.1566666666668,81,85.40493827160493
Silent Tokyo II,1410.6,87,73.69770114942528
The Pact of Naples,1410.1283333333333,48,73.69375000000001
Scarlet Inheritance,1408.1416666666667,52,56.767307692307696
Seoul Tide II,1406.27,129,77.86356589147286
Madrid Empire IV,1404.5766666666666,73,65.44657534246576
Falling Madrid,1397.905,45,64.72
The Heist of Tokyo,1395.4083333333333,114,69.74035087719298
The Echoes of Naples III,1393.255,952,65.52825630252102
Lisbon Echoes,1391.7666666666667,79,80.3240506329114
Sacred Detroit II,1391.7666666666667,63,66.94126984126984
Crimson Syndicate,1387.8466666666666,62,74.60967741935484
Tokyo Affair II,1385.4166666666667,168,67.22857142857143
The Promise of Madrid III,1385.055,58,70.23448275862069
The Harvest of Oslo,1383.1466666666668,67,73.72089552238806
Midnight Bogota II,1379.36,79,51.96708860759493
Jakarta Syndicate IV,1378.5366666666666,60,48.26833333333333
Paper Naples II,1376.83,62,61.68387096774194
The Lighthouse of Naples III,1376.395,65,68.85846153846154
Electric Departure,1375.3083333333334,56,69.96964285714286
Naples Empire V,1367.2633333333333,44,61.64545454545455
Restless Jakarta VI,1366.655,51,73.61764705882354
Burning Mumbai II,1365.6966666666667,87,73.58505747126436
The Verdict of Lagos,1364.4733333333334,56,74.06071428571428
Sydney Ledger VI,1364.0766666666666,100,54.126000000000005
The Shadows of Marseille,1364.0433333333333,119,58.483193277310924
The Throne of Lagos,1362.9950000000001,101,58.84356435643564
Toronto Horizon,1362.5133333333333,48,78.85416666666667
The Expedition of Toronto III,1362.4566666666667,224,62.066517857142856
Madrid Mirror,1362.2516666666668,104,68.93942307692308
Iron Bogota,1360.67,98,66.12142857142857
Glass Bangkok II,1360.4783333333332,74,64.88783783783784
Hamburg Anatomy III,1358.13,61,75.89508196721312
Phantom Hamburg,1356.1266666666666,56,74.74821428571428
Berlin Departure VI,1353.0216666666668,86,56.99883720930232
Tokyo Shadows III,1352.9166666666667,207,68.79516908212561
Frozen Naples III,1351.4783333333332,97,77.76288659793815
Glass Marseille II,1351.1366666666668,92,70.61086956521739
Jakarta River II,1349.4833333333333,50,61.108000000000004
Bogota Syndicate II,1347.12,54,77.96111111111111
The Ledger of Jakarta VII,1345.7183333333332,181,66.32265193370165
Sacred Bogota III,1344.98,57,67.41754385964913
Madrid Legacy,1343.4166666666667,74,76.92162162162163
Sydney Confession II,1343.4116666666666,50,70.712
Marseille Heist IV,1343.1783333333333,50,69.95
Bangkok Throne,1342.12,42,84.08571428571429
The Mirror of Cairo II,1341.04,112,59.86875
Scarlet Inheritance II,1340.4516666666666,103,85.61844660194176
Paper Mumbai,1339.5566666666666,56,66.44464285714285
The Cipher of Marseille II,1337.09,63,54.13968253968254
Glass Istanbul III,1335.8416666666667,53,70.50377358490566
Neon Anatomy III,1332.9833333333333,48,81.20625
Distant Istanbul II,1331.8266666666666,77,83.16103896103895
Oslo Circuit II,1329.6333333333334,60,67.835
Berlin Paradox III,1328.9816666666666,217,64.46866359447004
The Syndicate of Bangkok,1325.3233333333333,59,60.059322033898304
Detroit Pact III,1320.5416666666667,104,73.82211538461539
The Protocol of Mumbai II,1319.1483333333333,111,66.57837837837837
Golden Naples II,1315.4766666666667,77,81.35324675324675
Midnight Madrid,1315.3366666666666,48,46.97291666666666
Eternal Tide III,1314.8816666666667,48,64.45833333333333
Paper Confession VI,1313.42,67,83.77761194029851
Silent Tokyo IV,1313.4033333333334,54,64.85925925925926
The Harvest of Jakarta II,1312.465,49,62.72653061224489
Lagos Odyssey II,1308.445,216,68.83518518518518
Electric Requiem II,1308.1583333333333,71,69.09859154929578
Falling Jakarta III,1307.1166666666666,51,56.950980392156865
Rising Horizon,1305.2933333333333,51,69.55294117647058
Bogota Expedition IV,1304.69,1151,69.39999999999999
The Cipher of Toronto II,1302.5016666666666,82,65.77682926829269
Toronto Requiem,1300.825,44,64.40681818181818
Forgotten Mumbai V,1299.6716666666666,78,68.66025641025641
Hidden Naples III,1299.0433333333333,87,86.14252873563218
Neon Protocol,1298.4533333333334,56,73.60892857142858
Neon Shadows,1298.1583333333333,49,78.85102040816327
Seoul Affair,1297.8233333333333,70,84.08571428571429
Reckless Oslo III,1297.2116666666666,63,74.23968253968255
The Throne of Berlin II,1296.095,48,64.09166666666667
Velvet Cairo,1294.6033333333335,47,62.46170212765957
Bangkok Empire,1292.6766666666667,42,56.719047619047615
Last Seoul IV,1292.2433333333333,57,82.5859649122807
Velvet Marseille II,1290.8133333333333,58,56.77758620689655
Sydney Circuit II,1288.0583333333334,80,75.94624999999999
The Echoes of Madrid III,1285.8816666666667,75,62.12266666666667
Jakarta Requiem,1285.6066666666666,51,64.64117647058823
Seoul Storm III,1282.7183333333332,73,86.12739726027398
Bitter Sydney IV,1281.9933333333333,115,64.31478260869565
Silent Storm III,1280.72,186,73.77688172043011
Frozen Cipher III,1279.0416666666667,74,45.18378378378378
The Kingdom of Cairo III,1276.6566666666668,50,78.572
